date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:16:21	6868/6868	U-----	200	untouched ('')	application/octet-stream	date:Sun,%2005%20Mar%202023%2013:29:35%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-cyrillic-ext.woff2	C:/Users/nicolas/Desktop/prueba/prueba/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-cyrillic-ext.woff2	(from https://www.classcentral.com/)
10:16:22	9684/9684	U-----	200	untouched ('')	application/octet-stream	date:Sun,%2005%20Mar%202023%2013:32:10%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-cyrillic.woff2	C:/Users/nicolas/Desktop/prueba/prueba/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-cyrillic.woff2	(from https://www.classcentral.com/)
10:16:22	7376/7376	U-----	200	untouched ('')	application/octet-stream	date:Sun,%2005%20Mar%202023%2013:29:35%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-greek-ext.woff2	C:/Users/nicolas/Desktop/prueba/prueba/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-greek-ext.woff2	(from https://www.classcentral.com/)
10:16:22	8444/8444	U-----	200	untouched ('')	application/octet-stream	date:Sun,%2005%20Mar%202023%2013:32:10%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-greek.woff2	C:/Users/nicolas/Desktop/prueba/prueba/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-greek.woff2	(from https://www.classcentral.com/)
10:16:22	5804/5804	U-----	200	untouched ('')	application/octet-stream	date:Sun,%2005%20Mar%202023%2013:32:10%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-vietnamese.woff2	C:/Users/nicolas/Desktop/prueba/prueba/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-vietnamese.woff2	(from https://www.classcentral.com/)
10:16:23	787434/787434	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Mar%202023%2015:16:22%20GMT	https://www.classcentral.com/subject/infosec	C:/Users/nicolas/Desktop/prueba/prueba/www.classcentral.com/subject/infosec.html	(from https://www.classcentral.com/)
10:16:23	14960/14960	U-----	200	untouched ('')	application/octet-stream	date:Sun,%2005%20Mar%202023%2013:32:10%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-latin-ext.woff2	C:/Users/nicolas/Desktop/prueba/prueba/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-latin-ext.woff2	(from https://www.classcentral.com/)
10:16:23	16112/16112	U-----	200	untouched ('')	application/octet-stream	date:Sun,%2005%20Mar%202023%2013:32:10%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-latin.woff2	C:/Users/nicolas/Desktop/prueba/prueba/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-latin.woff2	(from https://www.classcentral.com/)
10:16:23	6816/6816	U-----	200	untouched ('')	application/octet-stream	date:Sun,%2005%20Mar%202023%2013:29:35%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-cyrillic-ext.woff2	C:/Users/nicolas/Desktop/prueba/prueba/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-cyrillic-ext.woff2	(from https://www.classcentral.com/)
10:16:24	7244/7244	U-----	200	untouched ('')	application/octet-stream	date:Sun,%2005%20Mar%202023%2013:32:10%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-greek-ext.woff2	C:/Users/nicolas/Desktop/prueba/prueba/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-greek-ext.woff2	(from https://www.classcentral.com/)
